tcp        0      1 127.0.0.1:54108         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54110         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54111         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54114         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54116         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54118         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54120         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54122         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54124         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54126         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54128         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54130         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54132         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54134         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54136         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54138         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54140         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54142         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54144         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54146         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54148         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54150         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54152         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54154         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54156         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54158         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54160         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54162         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54164         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54166         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54168         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54170         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54172         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54174         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54176         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54178         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54180         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54182         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54184         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54186         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54188         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54190         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54192         127.0.0.1:12344         SYN_SENT   
